               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.018075,           0.0098734,           0.0024607,             0.93741,              0.7661,             0.89813,             0.77768,            0.009587,           0.0056012,           0.0053745,            0.004753,            0.004753,            0.004753
                  55,            0.016704,           0.0091335,           0.0021167,             0.62808,             0.79916,             0.77694,             0.65034,            0.013032,           0.0071844,            0.013363,            0.004654,            0.004654,            0.004654
                  56,            0.017985,           0.0095883,           0.0024622,             0.96519,             0.91704,             0.97352,             0.83355,           0.0090528,           0.0045008,           0.0023503,            0.004555,            0.004555,            0.004555
                  57,            0.017476,           0.0092901,           0.0023016,              0.9826,             0.89203,             0.95747,             0.83204,           0.0081953,           0.0048164,           0.0024372,            0.004456,            0.004456,            0.004456
                  58,            0.017249,           0.0095807,           0.0019916,             0.95665,              0.9204,             0.95008,             0.81765,           0.0089143,           0.0048031,           0.0022208,            0.004357,            0.004357,            0.004357
                  59,            0.017122,           0.0094893,           0.0017426,             0.98891,              0.8474,             0.95171,             0.82958,           0.0099571,           0.0049338,           0.0021607,            0.004258,            0.004258,            0.004258
                  60,            0.017246,           0.0093724,           0.0017635,             0.98372,             0.88125,             0.95029,             0.80949,           0.0096486,           0.0048484,           0.0017465,            0.004159,            0.004159,            0.004159
                  61,            0.018121,            0.009832,           0.0018209,              0.9794,             0.87448,             0.96216,             0.81469,            0.009942,           0.0045657,           0.0020812,             0.00406,             0.00406,             0.00406
                  62,            0.016202,           0.0092701,            0.001911,             0.94225,             0.91716,              0.9528,             0.82061,           0.0093994,           0.0044321,           0.0023989,            0.003961,            0.003961,            0.003961
                  63,             0.01522,           0.0088905,           0.0020918,             0.93494,             0.91584,             0.95359,             0.84323,           0.0092879,           0.0045278,           0.0020035,            0.003862,            0.003862,            0.003862
                  64,            0.015836,           0.0087599,            0.002305,             0.94213,             0.88872,             0.94777,             0.83613,           0.0086378,           0.0051457,           0.0025234,            0.003763,            0.003763,            0.003763
